TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612738,Boston Celtics,20,11,9,0.55,48.3,40.9,85.5,0.478,14.1,38.7,0.364,16.2,20.0,0.81,9.5,33.6,43.1,24.2,12.4,6.0,6.4,4.7,17.2,17.7,112.0,3.4,1,3,16,4,7,8,11,3,3,4,5,9,9,6,10,6,9,7,7,15,2,10,3,12,9,3,2022-23
1610612751,Brooklyn Nets,4,0,4,0.0,48.0,34.0,77.3,0.44,11.3,34.5,0.326,13.3,18.3,0.726,5.8,29.3,35.0,22.3,12.3,5.3,3.8,4.0,15.5,18.8,92.5,-11.3,16,16,1,16,9,16,16,12,11,7,13,16,15,15,16,14,16,11,5,16,13,5,1,11,16,16,2022-23
1610612739,Cleveland Cavaliers,5,1,4,0.2,48.0,35.2,78.4,0.449,10.0,30.6,0.327,13.8,18.6,0.742,9.2,28.0,37.2,22.0,15.8,6.8,4.0,4.6,20.4,17.4,94.2,-5.4,12,12,1,12,9,15,15,10,14,14,12,15,14,14,11,16,15,12,16,9,11,8,10,14,15,12,2022-23
1610612743,Denver Nuggets,17,13,4,0.765,48.3,42.8,86.8,0.493,11.8,30.9,0.382,17.8,21.8,0.817,10.1,33.8,43.9,25.9,11.5,6.9,3.8,4.7,19.8,21.1,115.2,7.8,3,1,1,1,6,4,8,2,10,13,2,7,7,4,8,4,7,3,1,7,12,11,8,6,4,1,2022-23
1610612744,Golden State Warriors,13,6,7,0.462,48.0,41.9,93.6,0.448,14.5,42.5,0.34,14.8,19.7,0.75,12.5,34.5,47.1,28.2,14.4,7.2,4.6,4.6,22.9,19.6,113.1,-0.2,5,6,13,8,9,5,4,11,2,1,10,13,11,12,4,2,2,1,13,4,7,9,15,9,7,6,2022-23
1610612746,LA Clippers,5,1,4,0.2,48.0,40.8,88.6,0.46,12.2,33.8,0.361,21.8,26.4,0.826,11.8,28.2,40.0,21.6,14.0,6.6,4.2,6.2,23.0,21.2,115.6,-6.4,12,12,1,12,9,9,6,7,6,10,7,1,2,3,6,15,12,14,11,11,10,14,16,5,3,13,2022-23
1610612747,Los Angeles Lakers,16,8,8,0.5,48.3,41.1,87.1,0.471,10.1,30.3,0.335,20.1,24.8,0.809,9.1,35.6,44.6,24.9,11.9,6.8,6.4,3.8,17.4,21.3,112.3,2.4,4,4,15,7,5,6,7,5,13,15,11,2,4,8,14,1,5,4,2,8,1,3,4,4,8,4,2022-23
1610612763,Memphis Grizzlies,6,2,4,0.333,48.8,38.3,95.3,0.402,12.0,38.5,0.312,16.0,19.2,0.835,13.2,33.3,46.5,23.3,13.0,6.7,3.5,9.2,20.5,17.5,104.7,-7.5,10,10,1,10,3,11,3,16,9,5,14,11,12,2,2,7,3,9,10,10,15,16,11,13,12,14,2022-23
1610612748,Miami Heat,20,13,7,0.65,48.3,40.6,86.6,0.469,13.3,34.0,0.392,16.2,20.0,0.81,9.2,31.5,40.6,24.1,12.1,7.2,3.5,4.5,20.0,19.0,110.7,3.4,1,1,13,2,7,10,10,6,5,8,1,9,9,6,13,11,11,8,4,5,16,7,9,10,10,2,2022-23
1610612749,Milwaukee Bucks,5,1,4,0.2,49.0,44.0,92.6,0.475,15.6,41.2,0.379,15.2,21.4,0.71,10.2,34.2,44.4,26.8,14.4,6.6,3.6,3.4,18.8,20.4,118.8,-5.2,12,12,1,12,1,1,5,4,1,2,3,12,8,16,7,3,6,2,14,11,14,1,6,8,1,10,2022-23
1610612750,Minnesota Timberwolves,5,1,4,0.2,49.0,37.8,82.6,0.458,11.2,32.2,0.348,18.6,24.2,0.769,8.4,30.8,39.2,22.6,12.8,6.6,4.8,3.4,21.6,23.0,105.4,-8.8,12,12,1,12,1,12,13,8,12,12,9,6,5,10,15,13,14,10,8,11,6,1,12,1,11,15,2022-23
1610612752,New York Knicks,11,6,5,0.545,48.0,35.3,81.5,0.433,9.5,32.7,0.292,20.0,26.8,0.746,12.9,32.5,45.4,18.7,14.6,7.0,4.5,3.8,19.5,21.6,100.1,0.4,6,6,11,5,9,14,14,14,15,11,16,3,1,13,3,9,4,16,15,6,8,4,7,3,14,5,2022-23
1610612755,Philadelphia 76ers,11,7,4,0.636,48.5,36.7,84.0,0.437,12.2,33.9,0.359,16.9,19.1,0.886,10.0,33.0,43.0,19.1,12.4,7.6,5.3,5.5,18.7,16.0,102.5,-1.5,6,5,1,3,4,13,12,13,7,9,8,8,13,1,9,8,10,15,6,3,4,12,5,16,13,7,2022-23
1610612756,Phoenix Suns,11,6,5,0.545,48.0,43.1,86.8,0.496,9.4,25.8,0.363,18.6,23.4,0.798,9.2,30.8,40.0,24.5,12.1,6.3,5.6,4.0,22.0,20.8,114.2,-2.3,6,6,11,5,9,3,9,1,16,16,6,5,6,9,12,12,12,5,3,14,3,5,13,7,5,9,2022-23
1610612758,Sacramento Kings,7,3,4,0.429,48.0,41.0,95.6,0.429,12.1,39.7,0.306,19.6,25.7,0.761,14.0,33.7,47.7,22.0,14.1,7.7,4.3,5.6,22.6,22.7,113.7,-2.1,9,9,1,9,9,7,2,15,8,3,15,4,3,11,1,5,1,12,12,1,9,13,14,2,6,8,2022-23
